date,4:Temperature_Habitacion_Sensor,5:Weather_Temperature,6:CO2_Comedor_Sensor,7:CO2_Habitacion_Sensor,8:Humedad_Comedor_Sensor,9:Humedad_Habitacion_Sensor,10:Lighting_Comedor_Sensor,11:Lighting_Habitacion_Sensor,12:Precipitacion,13:Meteo_Exterior_Crepusculo,14:Meteo_Exterior_Viento,15:Meteo_Exterior_Sol_Oest,16:Meteo_Exterior_Sol_Est,17:Meteo_Exterior_Sol_Sud,18:Meteo_Exterior_Piranometro,19:Exterior_Entalpic_1,20:Exterior_Entalpic_2,21:Exterior_Entalpic_turbo,22:Temperature_Exterior_Sensor,3:Temperature_Comedor_Sensor
2012-03-13 11:45:00,17.8275,0.0,216.56,221.92,39.9125,42.415,81.665,113.52,0.0,623.36,1.42625,9690.24,12604.2,95436.8,758.88,0,0,0,18.115,18.1875
2012-03-13 12:00:00,18.1207,6.8,219.947,220.363,39.9267,42.2453,81.7413,113.605,0.0,623.211,1.592,11022.0,10787.2,95436.8,762.069,0,0,0,18.4147,18.4633
2012-03-13 12:15:00,18.4367,17.0,219.403,218.933,39.772,42.2267,81.424,113.6,0.0,622.656,1.89133,13960.5,9669.63,95398.6,766.251,0,0,0,18.8533,18.7673
2012-03-13 12:30:00,18.7513,18.0,218.613,217.045,39.776,42.0987,81.5013,113.344,0.0,622.571,1.828,18511.2,9648.13,95360.3,766.037,0,0,0,19.2907,19.0727
2012-03-13 12:45:00,19.0414,20.0,217.714,216.08,39.7757,42.0686,81.4657,113.034,0.0,622.4,2.36071,26349.0,9208.32,95354.9,762.743,0,0,0,19.74,19.3721
2012-03-13 13:00:00,19.2773,20.0,218.389,216.011,39.8107,42.0347,81.2427,113.6,0.0,622.4,2.06333,36511.7,8694.78,95354.9,752.683,0,0,0,20.166,19.6407
2012-03-13 13:15:00,19.5367,20.0,218.155,215.829,39.8613,41.9947,81.36,112.981,0.0,622.4,2.23067,49288.5,8501.25,95354.9,740.949,0,0,0,20.566,19.912
2012-03-13 13:30:00,19.7307,20.0,216.661,215.296,39.824,41.9947,81.024,111.259,0.0,621.803,1.924,62253.7,8687.62,95174.7,721.109,0,0,0,20.8427,20.164
2012-03-13 13:45:00,19.9693,20.0,217.461,214.549,39.9587,42.1253,81.104,83.3547,0.0,620.651,2.51067,71453.4,8888.32,91848.7,699.392,0,0,0,21.204,20.412
2012-03-13 14:00:00,20.1407,20.0,215.349,213.909,39.94,42.0427,81.1813,83.36,0.0,620.309,2.65333,80076.8,9046.02,87217.5,677.675,0,0,0,21.5227,20.64
